YEAR,REGION,PLANTING_DATE,MONTH,DAY,PD_WINDOW,IRRIGATION,SOIL,COMPANY_VARIETY,MG,MG_SECTION,PLANTING_DATE_FULL,MG_SEC,GENERAL_REGIONS,YIELD
2013,SW,22-Mar,3,22,B,Non,Silt Loam,Asgrow 5233,5.2,5.0-5.3,3/22/13,5.0_5.3,S,11.8
2013,SW,22-Mar,3,22,B,Non,Silt Loam,DG 4765 RR2/STS,4.7,4.5-4.7,3/22/13,4.5_4.7,S,12.3
2013,SW,22-Mar,3,22,B,Non,Silt Loam,DG 5575 RR2,5.5,5.4-6.0,3/22/13,5.4+,S,23.5
2013,SW,22-Mar,3,22,B,Non,Silt Loam,P94Y80,4.8,4.8-4.9,3/22/13,4.8_4.9,S,12.7
2013,SW,22-Mar,3,22,B,Non,Silt Loam,S49-F8,4.9,4.8-4.9,3/22/13,4.8_4.9,S,11.6
2013,SW,22-Mar,3,22,B,Non,Silt Loam,S51-1-19,5.1,5.0-5.3,3/22/13,5.0_5.3,S,20.9
2013,SW,22-Mar,3,22,B,Non,Silt Loam,Terral 49R94,4.9,4.8-4.9,3/22/13,4.8_4.9,S,14.3
2013,SW,22-Mar,3,22,B,Non,Silt Loam,Terral 56R53,5.6,5.4-6.0,3/22/13,5.4+,S,21.6
2013,SW,9-Apr,4,9,C,Non,Silt Loam,Asgrow 5233,5.2,5.0-5.3,4/9/13,5.0_5.3,S,19.6
2013,SW,9-Apr,4,9,C,Non,Silt Loam,DG 4765 RR2/STS,4.7,4.5-4.7,4/9/13,4.5_4.7,S,30.9
2013,SW,9-Apr,4,9,C,Non,Silt Loam,DG 5575 RR2,5.5,5.4-6.0,4/9/13,5.4+,S,25.6
2013,SW,9-Apr,4,9,C,Non,Silt Loam,P94Y80,4.8,4.8-4.9,4/9/13,4.8_4.9,S,40.2
2013,SW,9-Apr,4,9,C,Non,Silt Loam,S49-F8,4.9,4.8-4.9,4/9/13,4.8_4.9,S,27.8
